ErrorCode,Description
90099,The application '{appId}' ({appName}) has not been authorized in the tenant '{tenant}'. Applications must be authorized to access the external tenant before partner delegated administrators can use them. Provide pre-consent or execute the appropriate Partner Center API to authorize the application.
900971,No reply address provided.
90100,InvalidRequestParameter - The parameter is empty or not valid.
901002,901002: The 'resource' request parameter isn't supported.
90101,InvalidEmailAddress - The supplied data isn't a valid email address. The email address must be in the format someone@example.com.
90102,InvalidUriParameter - The value must be a valid absolute URI.
90107,InvalidXml - The request isn't valid. Make sure your data doesn't have invalid characters.
90112,Application identifier is expected to be a GUID.
90114,InvalidExpiryDate - The bulk token expiration timestamp will cause an expired token to be issued.
90117,InvalidRequestInput
90119,InvalidUserCode - The user code is null or empty.
90120,InvalidDeviceFlowRequest - The request was already authorized or declined.
90121,InvalidEmptyRequest - Invalid empty request.
90123,IdentityProviderAccessDenied - The token can't be issued because the identity or claim issuance provider denied the request.
90124,V1ResourceV2GlobalEndpointNotSupported - The resource isn't supported over the /common or /consumers endpoints. Use the /organizations or tenant-specific endpoint instead.
90125,DebugModeEnrollTenantNotFound - The user isn't in the system. Make sure you entered the user name correctly.
90126,DebugModeEnrollTenantNotInferred - The user type isn't supported on this endpoint. The system can't infer the user's tenant from the user name.
90130,NonConvergedAppV2GlobalEndpointNotSupported - The application isn't supported over the /common or /consumers endpoints. Use the /organizations or tenant-specific endpoint instead.
120000,PasswordChangeIncorrectCurrentPassword
120002,PasswordChangeInvalidNewPasswordWeak
120003,PasswordChangeInvalidNewPasswordContainsMemberName
120004,PasswordChangeOnPremComplexity
120005,PasswordChangeOnPremSuccessCloudFail
120008,PasswordChangeAsyncJobStateTerminated - A non-retryable error has occurred.
120011,PasswordChangeAsyncUpnInferenceFailed
120012,PasswordChangeNeedsToHappenOnPrem
120013,PasswordChangeOnPremisesConnectivityFailure
120014,PasswordChangeOnPremUserAccountLockedOutOrDisabled
120015,PasswordChangeADAdminActionRequired
120016,PasswordChangeUserNotFoundBySspr
120018,PasswordChangePasswordDoesnotComplyFuzzyPolicy
120020,PasswordChangeFailure
120021,PartnerServiceSsprInternalServiceError
130004,NgcKeyNotFound - The user principal doesn't have the NGC ID key configured.
130005,NgcInvalidSignature - NGC key signature verified failed.
130006,NgcTransportKeyNotFound - The NGC transport key isn't configured on the device.
130007,NgcDeviceIsDisabled - The device is disabled.
130008,NgcDeviceIsNotFound - The device referenced by the NGC key wasn't found.
135010,KeyNotFound
135011,Device used during the authentication is disabled.
140000,InvalidRequestNonce - Request nonce isn't provided.
140001,InvalidSessionKey - The session key isn't valid.
165004,Actual message content is runtime specific. Please see returned exception message for details.
165900,InvalidApiRequest - Invalid request.
220450,UnsupportedAndroidWebViewVersion - The Chrome WebView version isn't supported.
220501,InvalidCrlDownload
221000,DeviceOnlyTokensNotSupportedByResource - The resource isn't configured to accept device-only tokens.
240001,BulkAADJTokenUnauthorized - The user isn't authorized to register devices in Microsoft Entra ID.
240002,RequiredClaimIsMissing - The id_token can't be used as urn:ietf:params:oauth:grant-type:jwt-bearer grant.
501621,ClaimsTransformationTimeoutRegularExpressionTimeout - Regular expression replacement for claims transformation has timed out. This indicates a too complex regular expression may have been configured for this application. A retry of the request may succeed. Otherwise please contact your admin to fix the configuration.
530032,BlockedByConditionalAccessOnSecurityPolicy - The tenant admin has configured a security policy that blocks this request. Check the security policies that are defined on the tenant level to determine if your request meets the policy requirements.
700016,UnauthorizedClient_DoesNotMatchRequest - The application wasn't found in the directory/tenant. This can happen if the application has not been installed by the administrator of the tenant or consented to by any user in the tenant. You might have misconfigured the identifier value for the application or sent your authentication request to the wrong tenant.
700020,InteractionRequired - The access grant requires interaction.
700022,InvalidMultipleResourcesScope - The provided value for the input parameter scope isn't valid because it contains more than one resource.
700023,InvalidResourcelessScope - The provided value for the input parameter scope isn't valid when requesting an access token.
7000215,Invalid client secret is provided. Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.
7000218,The request body must contain the following parameter: 'client_assertion' or 'client_secret'.
7000222,InvalidClientSecretExpiredKeysProvided - The provided client secret keys are expired. Create new keys for your app or consider using certificate credentials for added security: https://aka.ms/certCreds
700229,ForbiddenTokenType- Only app-only tokens can be used as Federated Identity Credentials for Microsoft Entra issuer. Use an app-only access token (generated during a client credentials flow) instead of a user-delegated access token (representing a request coming from a user context).
700005,InvalidGrantRedeemAgainstWrongTenant - Provided Authorization Code is intended to use against other tenant thus rejected. OAuth2 Authorization Code must be redeemed against same tenant it was acquired for (/common or /{tenant-ID} as appropriate)
1000000,UserNotBoundError - The Bind API requires the Microsoft Entra user to also authenticate with an external IDP which hasn't happened yet.
1000002,BindCompleteInterruptError - The bind completed successfully but the user must be informed.
100007,Microsoft Entra Regional ONLY supports auth either for MSIs OR for requests from MSAL using SN+I for 1P apps or 3P apps in Microsoft infrastructure tenants.
1000031,Application {appDisplayName} can't be accessed at this time. Contact your administrator.
7000112,UnauthorizedClientApplicationDisabled - The application is disabled.
7000114,Application 'appIdentifier' isn't allowed to make application on-behalf-of calls.
7500529,The value ‘SAMLId-Guid’ isn't a valid SAML ID - Microsoft Entra ID uses this attribute to populate the InResponseTo attribute of the returned response. ID must not begin with a number so a common strategy is to prepend a string like ID to the string representation of a GUID. For example id6c1c178c166d486687be4aaf5e482730 is a valid ID.
